departure_terminal,arrival_terminal,vessel_name,scheduled_departure_year,scheduled_departure_month,scheduled_departure_day,scheduled_departure_hour,scheduled_departure_minute,actual_departure_year,actual_departure_month,actual_departure_day,actual_departure_hour,actual_departure_minute,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_minute
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,12,13,00,2017,02,12,13,06,2017,02,12,14,34
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,12,14,00,2017,02,12,14,01,2017,02,12,15,30
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,02,12,15,00,2017,02,12,14,59,2017,02,12,16,34
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,12,17,00,2017,02,12,17,03,2017,02,12,18,28
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,12,18,00,2017,02,12,18,02,2017,02,12,19,24
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,02,12,19,00,2017,02,12,18,59,2017,02,12,20,34
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,12,21,00,2017,02,12,21,01,2017,02,12,22,24
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,12,07,00,2017,02,12,07,02,2017,02,12,08,36
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,02,12,09,00,2017,02,12,09,01,2017,02,12,10,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,12,11,00,2017,02,12,11,03,2017,02,12,12,30
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,02,12,13,00,2017,02,12,13,00,2017,02,12,14,26
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,12,15,00,2017,02,12,15,05,2017,02,12,16,30
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,12,16,00,2017,02,12,16,02,2017,02,12,17,30
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,02,12,17,00,2017,02,12,17,00,2017,02,12,18,28
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,12,19,00,2017,02,12,19,00,2017,02,12,20,34
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,02,12,21,00,2017,02,12,20,59,2017,02,12,22,28
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,02,13,07,00,2017,02,13,06,59,2017,02,13,08,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,13,09,00,2017,02,13,09,00,2017,02,13,10,32
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,13,10,00,2017,02,13,10,02,2017,02,13,11,26
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,02,13,11,00,2017,02,13,11,00,2017,02,13,12,32
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,13,13,00,2017,02,13,13,07,2017,02,13,14,32
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,13,14,00,2017,02,13,14,02,2017,02,13,15,24
