departure_terminal,arrival_terminal,vessel_name,scheduled_departure_year,scheduled_departure_month,scheduled_departure_day,scheduled_departure_hour,scheduled_departure_minute,actual_departure_year,actual_departure_month,actual_departure_day,actual_departure_hour,actual_departure_minute,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_minute
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,06,05,12,00,2017,06,05,12,04,2017,06,05,13,36
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,05,13,00,2017,06,05,13,08,2017,06,05,14,36
Tsawwassen,Swartz Bay,Coastal Celebration,2017,06,05,14,00,2017,06,05,14,04,2017,06,05,15,32
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,05,15,00,2017,06,05,15,00,2017,06,05,16,30
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,05,17,00,2017,06,05,16,58,2017,06,05,18,32
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,05,19,00,2017,06,05,19,00,2017,06,05,20,28
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,05,21,00,2017,06,05,21,01,2017,06,05,22,26
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,05,07,00,2017,06,05,07,01,2017,06,05,08,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,06,05,08,00,2017,06,05,08,02,2017,06,05,09,30
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,05,09,00,2017,06,05,09,02,2017,06,05,10,30
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,05,11,00,2017,06,05,11,03,2017,06,05,12,36
Swartz Bay,Tsawwassen,Coastal Celebration,2017,06,05,12,00,2017,06,05,12,08,2017,06,05,13,36
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,05,13,00,2017,06,05,13,09,2017,06,05,14,32
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,06,05,14,00,2017,06,05,14,08,2017,06,05,15,40
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,05,15,00,2017,06,05,15,02,2017,06,05,16,26
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,05,17,00,2017,06,05,17,03,2017,06,05,18,32
