departure_terminal,arrival_terminal,vessel_name,scheduled_departure_year,scheduled_departure_month,scheduled_departure_day,scheduled_departure_hour,scheduled_departure_minute,actual_departure_year,actual_departure_month,actual_departure_day,actual_departure_hour,actual_departure_minute,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_minute
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,6,11,0,2017,7,6,11,11,2017,7,6,12,42
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,6,12,0,2017,7,6,12,8,2017,7,6,13,34
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,6,13,0,2017,7,6,13,5,2017,7,6,14,36
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,6,14,0,2017,7,6,14,1,2017,7,6,15,33
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,6,15,0,2017,7,6,15,11,2017,7,6,16,42
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,6,16,0,2017,7,6,16,9,2017,7,6,17,34
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,6,17,0,2017,7,6,16,59,2017,7,6,18,28
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,6,19,0,2017,7,6,19,5,2017,7,6,20,32
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,6,20,0,2017,7,6,20,3,2017,7,6,21,26
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,6,21,0,2017,7,6,21,1,2017,7,6,22,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,6,6,0,2017,7,6,6,4,2017,7,6,7,34
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,6,7,0,2017,7,6,7,3,2017,7,6,8,34
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,6,8,0,2017,7,6,8,5,2017,7,6,9,32
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,6,9,0,2017,7,6,9,11,2017,7,6,10,36
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,6,10,0,2017,7,6,10,0,2017,7,6,11,30
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,6,11,0,2017,7,6,11,1,2017,7,6,12,34
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,6,12,0,2017,7,6,12,1,2017,7,6,13,28
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,6,13,0,2017,7,6,13,12,2017,7,6,14,40
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,6,14,0,2017,7,6,14,5,2017,7,6,15,42
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,6,15,0,2017,7,6,15,5,2017,7,6,16,28
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,6,16,0,2017,7,6,16,2,2017,7,6,17,34
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,6,17,0,2017,7,6,17,11,2017,7,6,18,38
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,6,18,0,2017,7,6,18,6,2017,7,6,19,36
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,6,19,0,2017,7,6,19,3,2017,7,6,20,32
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,6,20,0,2017,7,6,20,2,2017,7,6,21,28
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,6,21,0,2017,7,6,20,59,2017,7,6,22,27
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,7,7,0,2017,7,7,7,1,2017,7,7,8,32
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,7,8,0,2017,7,7,8,3,2017,7,7,9,32
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,7,9,0,2017,7,7,9,1,2017,7,7,10,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,7,10,0,2017,7,7,10,9,2017,7,7,11,40
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,7,11,0,2017,7,7,11,4,2017,7,7,12,38
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,7,12,0,2017,7,7,12,4,2017,7,7,13,38
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,7,13,0,2017,7,7,13,9,2017,7,7,14,48
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,7,14,0,2017,7,7,14,10,2017,7,7,15,38
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,7,15,0,2017,7,7,15,13,2017,7,7,16,42
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,7,16,0,2017,7,7,16,5,2017,7,7,17,38
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,7,17,0,2017,7,7,17,27,2017,7,7,18,54
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,7,18,0,2017,7,7,18,16,2017,7,7,19,38
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,7,19,0,2017,7,7,19,11,2017,7,7,20,36
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,7,20,0,2017,7,7,20,17,2017,7,7,21,42
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,7,21,0,2017,7,7,21,27,2017,7,7,22,50
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,7,22,0,2017,7,7,22,3,2017,7,7,23,38
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,7,7,0,2017,7,7,7,3,2017,7,7,8,32
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,7,8,0,2017,7,7,8,4,2017,7,7,9,30
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,7,9,0,2017,7,7,9,2,2017,7,7,10,30
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,7,10,0,2017,7,7,10,8,2017,7,7,11,34
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,7,11,0,2017,7,7,11,6,2017,7,7,12,34
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,7,12,0,2017,7,7,12,12,2017,7,7,13,36
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,7,13,0,2017,7,7,13,12,2017,7,7,14,40
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,7,14,0,2017,7,7,14,11,2017,7,7,15,32
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,7,15,0,2017,7,7,15,21,2017,7,7,16,48
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,7,16,0,2017,7,7,16,13,2017,7,7,17,42
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,7,17,0,2017,7,7,17,14,2017,7,7,18,40
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,7,18,0,2017,7,7,18,11,2017,7,7,19,42
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,7,19,0,2017,7,7,19,27,2017,7,7,20,56
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,7,20,0,2017,7,7,20,5,2017,7,7,21,40
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,7,21,0,2017,7,7,21,1,2017,7,7,22,28
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,7,22,0,2017,7,7,22,4,2017,7,7,23,39
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,8,6,0,2017,7,8,6,0,2017,7,8,7,26
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,8,8,0,2017,7,8,8,9,2017,7,8,9,32
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,8,9,0,2017,7,8,9,1,2017,7,8,10,28
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,8,10,0,2017,7,8,10,2,2017,7,8,11,32
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,8,11,0,2017,7,8,11,4,2017,7,8,12,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,8,12,0,2017,7,8,12,21,2017,7,8,13,42
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,8,13,0,2017,7,8,13,7,2017,7,8,14,38
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,8,14,0,2017,7,8,14,6,2017,7,8,15,38
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,8,15,0,2017,7,8,15,2,2017,7,8,16,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,8,16,0,2017,7,8,16,6,2017,7,8,17,34
